"","k","f","type"
"精神科",11139,2,"精神科"
"精準",11140,2,"精準"
"精簡",11141,2,"精簡"
"綠卡",11142,2,"綠卡"
"綠屎",11143,2,"綠屎"
"綠軍",11144,2,"綠軍"
"綠島",11145,2,"綠島"
"綱",11146,2,"綱"
"緊急",11147,2,"緊急"
"緊跟",11148,2,"緊跟"
"翠玉",11149,2,"翠玉"
"聚眾",11150,2,"聚眾"
"聚集地",11151,2,"聚集地"
"聚會",11152,2,"聚會"
"腐刑",11153,2,"腐刑"
"臺灣人",11154,2,"臺灣人"
"與世隔絕",11155,2,"與世隔絕"
"舞孃",11156,2,"舞孃"
"蒸發",11157,2,"蒸發"
"蓋出",11158,2,"蓋出"
"蓋掉",11159,2,"蓋掉"
"裸",11160,2,"裸"
"裹屍布",11161,2,"裹屍布"
"製成",11162,2,"製成"
"製造業",11163,2,"製造業"
"認了",11164,2,"認了"
"認屍",11165,2,"認屍"
"誘惑",11166,2,"誘惑"
"誘導式",11167,2,"誘導式"
"語",11168,2,"語"
"語彙",11169,2,"語彙"
"誣賴",11170,2,"誣賴"
"誤用",11171,2,"誤用"
"誤差",11172,2,"誤差"
"誤解",11173,2,"誤解"
"誤寫",11174,2,"誤寫"
"說完",11175,2,"說完"
"說到底",11176,2,"說到底"
"說說話",11177,2,"說說話"
"賓館",11178,2,"賓館"
"趕出",11179,2,"趕出"
"趕到",11180,2,"趕到"
"趙哥",11181,2,"趙哥"
"輔導長",11182,2,"輔導長"
"遞",11183,2,"遞"
"遠見",11184,2,"遠見"
"遠勝",11185,2,"遠勝"
"遠離",11186,2,"遠離"
"鄙視",11187,2,"鄙視"
"酷刑",11188,2,"酷刑"
"酸人",11189,2,"酸人"
"酸奶",11190,2,"酸奶"
"雌雄",11191,2,"雌雄"
"領走",11192,2,"領走"
"領政",11193,2,"領政"
"領得",11194,2,"領得"
"領導人",11195,2,"領導人"
"餅乾盒",11196,2,"餅乾盒"
"價",11197,2,"價"
"價差",11198,2,"價差"
"價碼",11199,2,"價碼"
"儀容",11200,2,"儀容"
"劈",11201,2,"劈"
"劉兆玄",11202,2,"劉兆玄"
"劉邦",11203,2,"劉邦"
"劉盛良",11204,2,"劉盛良"
"劉德華",11205,2,"劉德華"
"劊子手",11206,2,"劊子手"
"嘩眾取寵",11207,2,"嘩眾取寵"
"嘿嘿嘿",11208,2,"嘿嘿嘿"
"噴上",11209,2,"噴上"
"墜毀",11210,2,"墜毀"
"增長",11211,2,"增長"
"墨鏡",11212,2,"墨鏡"
"墮",11213,2,"墮"
"墮落",11214,2,"墮落"
"審理",11215,2,"審理"
"審視",11216,2,"審視"
"審議",11217,2,"審議"
"寫好",11218,2,"寫好"
"寫字",11219,2,"寫字"
"寫作",11220,2,"寫作"
"寫法",11221,2,"寫法"
"寫稿",11222,2,"寫稿"
"寬頻",11223,2,"寬頻"
"廢板",11224,2,"廢板"
"廣告文",11225,2,"廣告文"
"廣告版",11226,2,"廣告版"
"彈出來",11227,2,"彈出來"
"彈著點",11228,2,"彈著點"
"影音",11229,2,"影音"
"影像",11230,2,"影像"
"影劇",11231,2,"影劇"
"影響到",11232,2,"影響到"
"徵信社",11233,2,"徵信社"
"德莫萊",11234,2,"德莫萊"
"慶幸",11235,2,"慶幸"
"慾望",11236,2,"慾望"
"憤青",11237,2,"憤青"
"撒旦",11238,2,"撒旦"
"撞",11239,2,"撞"
"撞球",11240,2,"撞球"
"撥接",11241,2,"撥接"
"撫恤",11242,2,"撫恤"
"撫慰",11243,2,"撫慰"
"播出",11244,2,"播出"
"敵對",11245,2,"敵對"
"暫存器",11246,2,"暫存器"
"暴跌",11247,2,"暴跌"
"槽",11248,2,"槽"
"標記",11249,2,"標記"
"標題文",11250,2,"標題文"
"樟腦",11251,2,"樟腦"
"模",11252,2,"模"
"模範生",11253,2,"模範生"
"模擬",11254,2,"模擬"
"樣本數",11255,2,"樣本數"
"樣樣",11256,2,"樣樣"
"歐市",11257,2,"歐市"
"歐歐",11258,2,"歐歐"
"毆打",11259,2,"毆打"
"潘仔",11260,2,"潘仔"
"潛水",11261,2,"潛水"
"潮男",11262,2,"潮男"
"潮牌",11263,2,"潮牌"
"熬夜",11264,2,"熬夜"
"熱門版",11265,2,"熱門版"
"獎勵",11266,2,"獎勵"
"瘦",11267,2,"瘦"
"盤子",11268,2,"盤子"
"盤查",11269,2,"盤查"
"瞎子",11270,2,"瞎子"
"確",11271,2,"確"
"確立",11272,2,"確立"
"稿子",11273,2,"稿子"
"窮人",11274,2,"窮人"
"糊口",11275,2,"糊口"
"編碼",11276,2,"編碼"
"緩",11277,2,"緩"
"緩刑",11278,2,"緩刑"
"罷",11279,2,"罷"
"膜拜",11280,2,"膜拜"
"膝枕",11281,2,"膝枕"
"膝蓋",11282,2,"膝蓋"
"蔡正元",11283,2,"蔡正元"
"蔡佳妤",11284,2,"蔡佳妤"
"蔣宋",11285,2,"蔣宋"
"蔣家",11286,2,"蔣家"
"蔥",11287,2,"蔥"
"蝦蝦",11288,2,"蝦蝦"
"蝴蝶",11289,2,"蝴蝶"
"衝向",11290,2,"衝向"
"衝到",11291,2,"衝到"
"衝勁",11292,2,"衝勁"
"衝洞",11293,2,"衝洞"
"衝衝",11294,2,"衝衝"
"複合",11295,2,"複合"
"課業",11296,2,"課業"
"調查員",11297,2,"調查員"
"調職",11298,2,"調職"
"請來",11299,2,"請來"
"論掛",11300,2,"論掛"
"諸",11301,2,"諸"
"諸公",11302,2,"諸公"
"諸多",11303,2,"諸多"
"諸如",11304,2,"諸如"
"諸葛",11305,2,"諸葛"
"豬仔",11306,2,"豬仔"
"豬哥亮",11307,2,"豬哥亮"
"豬腳",11308,2,"豬腳"
"賞月",11309,2,"賞月"
"賞宜欣文",11310,2,"賞宜欣文"
"賠本",11311,2,"賠本"
"賠得起",11312,2,"賠得起"
"賢治君",11313,2,"賢治君"
"賣力",11314,2,"賣力"
"賣出",11315,2,"賣出"
"賣到",11316,2,"賣到"
"質",11317,2,"質"
"質料",11318,2,"質料"
"質權",11319,2,"質權"
"趟",11320,2,"趟"
"趣",11321,2,"趣"
"踢掉",11322,2,"踢掉"
"輛",11323,2,"輛"
"輪流",11324,2,"輪流"
"適可而止",11325,2,"適可而止"
"適應",11326,2,"適應"
"遮蔽",11327,2,"遮蔽"
"銳",11328,2,"銳"
"銷",11329,2,"銷"
"銷假",11330,2,"銷假"
"銷量",11331,2,"銷量"
"銷魂",11332,2,"銷魂"
"鋪陳",11333,2,"鋪陳"
"震憾力",11334,2,"震憾力"
"震撼",11335,2,"震撼"
"鞋",11336,2,"鞋"
"鞏固",11337,2,"鞏固"
"養分",11338,2,"養分"
"養好",11339,2,"養好"
"養成",11340,2,"養成"
"餔",11341,2,"餔"
"駐守",11342,2,"駐守"
"駕照",11343,2,"駕照"
"駕駛座",11344,2,"駕駛座"
"髮",11345,2,"髮"
"鬧成",11346,2,"鬧成"
"鬧翻",11347,2,"鬧翻"
"魅力",11348,2,"魅力"
"魯",11349,2,"魯"
"魯蛋配",11350,2,"魯蛋配"
"儘管",11351,2,"儘管"
"劑量",11352,2,"劑量"
"器官",11353,2,"器官"
"噫",11354,2,"噫"
"學人",11355,2,"學人"
"學姐",11356,2,"學姐"
"學會",11357,2,"學會"
"導",11358,2,"導"
"導彈",11359,2,"導彈"
"憲兵",11360,2,"憲兵"
"戰文",11361,2,"戰文"
"戰死",11362,2,"戰死"
"戰勝",11363,2,"戰勝"
"戰線",11364,2,"戰線"
"撻伐",11365,2,"撻伐"
"擇日法",11366,2,"擇日法"
"整建",11367,2,"整建"
"機票",11368,2,"機票"
"橫批",11369,2,"橫批"
"橫財",11370,2,"橫財"
"歷久不衰",11371,2,"歷久不衰"
"歷年",11372,2,"歷年"
"激光",11373,2,"激光"
"燈",11374,2,"燈"
"燒毀",11375,2,"燒毀"
"獨有",11376,2,"獨有"
"獨霸",11377,2,"獨霸"
"積體電路",11378,2,"積體電路"
"縣市政府",11379,2,"縣市政府"
"艘",11380,2,"艘"
"蕭母",11381,2,"蕭母"
"蕭弟",11382,2,"蕭弟"
"蕭郎",11383,2,"蕭郎"
"蕭師言",11384,2,"蕭師言"
"蕭薔",11385,2,"蕭薔"
"褫奪",11386,2,"褫奪"
"褲",11387,2,"褲"
"親友團",11388,2,"親友團"
"親手",11389,2,"親手"
"親民",11390,2,"親民"
"親生",11391,2,"親生"
"親身",11392,2,"親身"
"親眼",11393,2,"親眼"
"諧音",11394,2,"諧音"
"諾言",11395,2,"諾言"
"謀",11396,2,"謀"
"謁陵",11397,2,"謁陵"
"輯",11398,2,"輯"
"輸光",11399,2,"輸光"
"辦不到",11400,2,"辦不到"
"辦公",11401,2,"辦公"
"辦事",11402,2,"辦事"
"辦綠",11403,2,"辦綠"
"選完",11404,2,"選完"
"選前",11405,2,"選前"
"選擇權",11406,2,"選擇權"
"遺",11407,2,"遺"
"遺書",11408,2,"遺書"
"遺傳",11409,2,"遺傳"
"遺體",11410,2,"遺體"
"醒來",11411,2,"醒來"
"鋼彈",11412,2,"鋼彈"
"錄下來",11413,2,"錄下來"
"錢包",11414,2,"錢包"
"錯失",11415,2,"錯失"
"錯別字",11416,2,"錯別字"
"閹割",11417,2,"閹割"
"隨之",11418,2,"隨之"
"隨著",11419,2,"隨著"
"靜",11420,2,"靜"
"頭良率",11421,2,"頭良率"
"頭痛",11422,2,"頭痛"
"頭號",11423,2,"頭號"
"頭銜",11424,2,"頭銜"
"頻率",11425,2,"頻率"
"頻道",11426,2,"頻道"
"頻繁",11427,2,"頻繁"
"鴨霸",11428,2,"鴨霸"
"默契",11429,2,"默契"
"默認",11430,2,"默認"
"龜縮",11431,2,"龜縮"
"龜懶",11432,2,"龜懶"
"償還",11433,2,"償還"
"優文阿",11434,2,"優文阿"
"優先",11435,2,"優先"
"優等生",11436,2,"優等生"
"優酪乳",11437,2,"優酪乳"
"嚇呆",11438,2,"嚇呆"
"嚐嚐",11439,2,"嚐嚐"
"壓載",11440,2,"壓載"
"壓電",11441,2,"壓電"
"嬰兒車",11442,2,"嬰兒車"
"幫不上",11443,2,"幫不上"
"幫手",11444,2,"幫手"
"幫倒忙",11445,2,"幫倒忙"
"幫浦",11446,2,"幫浦"
"幫幫忙",11447,2,"幫幫忙"
"應召",11448,2,"應召"
"應景",11449,2,"應景"
"應徵",11450,2,"應徵"
"應戰",11451,2,"應戰"
"懦夫",11452,2,"懦夫"
"戲碼",11453,2,"戲碼"
"擊",11454,2,"擊"
"斂財",11455,2,"斂財"
"斃命",11456,2,"斃命"
"檔案室",11457,2,"檔案室"
"檢體",11458,2,"檢體"
"殭屍",11459,2,"殭屍"
"濟",11460,2,"濟"
"濫情",11461,2,"濫情"
"濱崎步",11462,2,"濱崎步"
"營運",11463,2,"營運"
"燦坤",11464,2,"燦坤"
"獲取",11465,2,"獲取"
"環保",11466,2,"環保"
"環島",11467,2,"環島"
"環評法",11468,2,"環評法"
"癌症",11469,2,"癌症"
"瞧不起",11470,2,"瞧不起"
"瞧瞧",11471,2,"瞧瞧"
"矯情",11472,2,"矯情"
"縫",11473,2,"縫"
"縮小",11474,2,"縮小"
"縮回去",11475,2,"縮回去"
"縮短",11476,2,"縮短"
"縮寫",11477,2,"縮寫"
"總冠軍",11478,2,"總冠軍"
"總動員",11479,2,"總動員"
"總算",11480,2,"總算"
"總線",11481,2,"總線"
"總體",11482,2,"總體"
"繁殖",11483,2,"繁殖"
"繁雜",11484,2,"繁雜"
"聯邦",11485,2,"聯邦"
"聯結",11486,2,"聯結"
"聯繫",11487,2,"聯繫"
"聲浪",11488,2,"聲浪"
"聲望",11489,2,"聲望"
"聲勢",11490,2,"聲勢"
"膽識",11491,2,"膽識"
"臉色",11492,2,"臉色"
"臉紅",11493,2,"臉紅"
"舉凡",11494,2,"舉凡"
"舉辦",11495,2,"舉辦"
"薛黃",11496,2,"薛黃"
"薯片",11497,2,"薯片"
"螽斯",11498,2,"螽斯"
"蟑螂",11499,2,"蟑螂"
"講究",11500,2,"講究"
"講來講去",11501,2,"講來講去"
"謝博年",11502,2,"謝博年"
"謝絕",11503,2,"謝絕"
"謝罪",11504,2,"謝罪"
"謝霆鋒",11505,2,"謝霆鋒"
"謝震武",11506,2,"謝震武"
"賺頭",11507,2,"賺頭"
"購物",11508,2,"購物"
"趨之若鶩",11509,2,"趨之若鶩"
"邀",11510,2,"邀"
"還政於民",11511,2,"還政於民"
"還擊",11512,2,"還擊"
"醜聞",11513,2,"醜聞"
"鍋",11514,2,"鍋"
"鎂",11515,2,"鎂"
"隱",11516,2,"隱"
"隱匿",11517,2,"隱匿"
"隱晦",11518,2,"隱晦"
"隱瞞",11519,2,"隱瞞"
"隸屬",11520,2,"隸屬"
"韓文",11521,2,"韓文"
"韓牌",11522,2,"韓牌"
"騁搞",11523,2,"騁搞"
"鮮血",11524,2,"鮮血"
"點心",11525,2,"點心"
"點火",11526,2,"點火"
"點歌",11527,2,"點歌"
"點擊",11528,2,"點擊"
"點點",11529,2,"點點"
"戳到",11530,2,"戳到"
"戳記",11531,2,"戳記"
"戳戳",11532,2,"戳戳"
"擴大",11533,2,"擴大"
"擴及",11534,2,"擴及"
"擴張",11535,2,"擴張"
"擺出來",11536,2,"擺出來"
"擺設",11537,2,"擺設"
"斷定",11538,2,"斷定"
"斷層",11539,2,"斷層"
"櫃",11540,2,"櫃"
"歸特",11541,2,"歸特"
"歸類",11542,2,"歸類"
"瀏覽器",11543,2,"瀏覽器"
"獵殺",11544,2,"獵殺"
"簡",11545,2,"簡"
"簡余晏",11546,2,"簡余晏"
"簡短",11547,2,"簡短"
"翹",11548,2,"翹"
"翻出來",11549,2,"翻出來"
"翻成",11550,2,"翻成"
"翻身",11551,2,"翻身"
"翻版",11552,2,"翻版"
"翻案",11553,2,"翻案"
"翻掉",11554,2,"翻掉"
"翻臉",11555,2,"翻臉"
"藍藍",11556,2,"藍藍"
"豐富",11557,2,"豐富"
"轉台",11558,2,"轉台"
"轉回來",11559,2,"轉回來"
"轉行",11560,2,"轉行"
"轉折",11561,2,"轉折"
"轉身",11562,2,"轉身"
"轉政",11563,2,"轉政"
"轉為",11564,2,"轉為"
"轉換",11565,2,"轉換"
"轉播",11566,2,"轉播"
"轉學",11567,2,"轉學"
"轉雙",11568,2,"轉雙"
"轉變",11569,2,"轉變"
"醫界",11570,2,"醫界"
"醫師",11571,2,"醫師"
"醫學院",11572,2,"醫學院"
"醬油",11573,2,"醬油"
"鎖文",11574,2,"鎖文"
"鎮痛劑",11575,2,"鎮痛劑"
"闖禍",11576,2,"闖禍"
"雞毛蒜皮",11577,2,"雞毛蒜皮"
"雞腿",11578,2,"雞腿"
"雞雞",11579,2,"雞雞"
"額外",11580,2,"額外"
"鬆",11581,2,"鬆"
"鬆綁",11582,2,"鬆綁"
"寵物",11583,2,"寵物"
"懲戒",11584,2,"懲戒"
"懶人包",11585,2,"懶人包"
"爆文",11586,2,"爆文"
"爆米花",11587,2,"爆米花"
"爆完",11588,2,"爆完"
"爆完掛",11589,2,"爆完掛"
"爆肝",11590,2,"爆肝"
"爆炸性",11591,2,"爆炸性"
"爆料文",11592,2,"爆料文"
"爆料爆",11593,2,"爆料爆"
"爆笑",11594,2,"爆笑"
"爆掉",11595,2,"爆掉"
"爆傑瑞",11596,2,"爆傑瑞"
"獸人",11597,2,"獸人"
"矇",11598,2,"矇"
"簽中",11599,2,"簽中"
"簽名黨",11600,2,"簽名黨"
"簽好",11601,2,"簽好"
"簽到",11602,2,"簽到"
"簽結",11603,2,"簽結"
"繳回",11604,2,"繳回"
"羅叔雷",11605,2,"羅叔雷"
"羅基掰",11606,2,"羅基掰"
"羅淑",11607,2,"羅淑"
"羅淑蕾",11608,2,"羅淑蕾"
"藤鷹",11609,2,"藤鷹"
"藥局",11610,2,"藥局"
"藥房",11611,2,"藥房"
"藥物",11612,2,"藥物"
"藥廠",11613,2,"藥廠"
"藥劑",11614,2,"藥劑"
"蟻",11615,2,"蟻"
"證交法",11616,2,"證交法"
"證件",11617,2,"證件"
"證據板",11618,2,"證據板"
"贈送",11619,2,"贈送"
"邊緣",11620,2,"邊緣"
"鏡子",11621,2,"鏡子"
"關好",11622,2,"關好"
"關東",11623,2,"關東"
"關連",11624,2,"關連"
"關渡",11625,2,"關渡"
"關照",11626,2,"關照"
"關頭",11627,2,"關頭"
"難以置信",11628,2,"難以置信"
"難事",11629,2,"難事"
"難堪",11630,2,"難堪"
"韻",11631,2,"韻"
"願望",11632,2,"願望"
"類別",11633,2,"類別"
"騙局",11634,2,"騙局"
"騙肖",11635,2,"騙肖"
"騙到",11636,2,"騙到"
"鵰",11637,2,"鵰"
"嚴刑峻罰",11638,2,"嚴刑峻罰"
"嚴法",11639,2,"嚴法"
"嚴懲",11640,2,"嚴懲"
"寶特瓶",11641,2,"寶特瓶"
"寶藏",11642,2,"寶藏"
"懸案",11643,2,"懸案"
"懺悔",11644,2,"懺悔"
"競爭力",11645,2,"競爭力"
"籃",11646,2,"籃"
"籌備",11647,2,"籌備"
"繼承",11648,2,"繼承"
"耀揚哥",11649,2,"耀揚哥"
"蘇丹",11650,2,"蘇丹"
"蘇胡",11651,2,"蘇胡"
"警",11652,2,"警"
"警方",11653,2,"警方"
"警員",11654,2,"警員"
"警報",11655,2,"警報"
"譬如說",11656,2,"譬如說"
"議事台",11657,2,"議事台"
"贏家",11658,2,"贏家"
"鐘點費",11659,2,"鐘點費"
"飄板",11660,2,"飄板"
"飄板文",11661,2,"飄板文"
"饒",11662,2,"饒"
"饒恕",11663,2,"饒恕"
"黨政",11664,2,"黨政"
"黨派",11665,2,"黨派"
"黨黨工",11666,2,"黨黨工"
"攜帶",11667,2,"攜帶"
"攝",11668,2,"攝"
"攝影組",11669,2,"攝影組"
"灌水",11670,2,"灌水"
"灌票",11671,2,"灌票"
"爛魚",11672,2,"爛魚"
"爛圖",11673,2,"爛圖"
"爛爆",11674,2,"爛爆"
"爛黨",11675,2,"爛黨"
"續",11676,2,"續"
"續任",11677,2,"續任"
"蠟燭",11678,2,"蠟燭"
"護身",11679,2,"護身"
"護駕護駕",11680,2,"護駕護駕"
"轟",11681,2,"轟"
"辯護",11682,2,"辯護"
"鐳射",11683,2,"鐳射"
"鐵牛",11684,2,"鐵牛"
"鐵定",11685,2,"鐵定"
"鐵門",11686,2,"鐵門"
"鐵証",11687,2,"鐵証"
"露乳溝",11688,2,"露乳溝"
"霸道",11689,2,"霸道"
"響",11690,2,"響"
"響亮",11691,2,"響亮"
"顧好",11692,2,"顧好"
"驅長",11693,2,"驅長"
"驅離",11694,2,"驅離"
"魔頭",11695,2,"魔頭"
"攤出來",11696,2,"攤出來"
"權謀",11697,2,"權謀"
"癮頭",11698,2,"癮頭"
"籠絡",11699,2,"籠絡"
"襯衫",11700,2,"襯衫"
"讀到",11701,2,"讀到"
"驕傲",11702,2,"驕傲"
"戀棧",11703,2,"戀棧"
"攪拌",11704,2,"攪拌"
"曬太陽",11705,2,"曬太陽"
"竊盜",11706,2,"竊盜"
"變小",11707,2,"變小"
"變化",11708,2,"變化"
"變色",11709,2,"變色"
"變身",11710,2,"變身"
"變得",11711,2,"變得"
"顯卡",11712,2,"顯卡"
"體育系",11713,2,"體育系"
"體現",11714,2,"體現"
"體裁",11715,2,"體裁"
"贛",11716,2,"贛"
"鹽",11717,2,"鹽"
"觀世音",11718,2,"觀世音"
"觀察入微",11719,2,"觀察入微"
"讚阿",11720,2,"讚阿"
"讚揚",11721,2,"讚揚"
"纜",11722,2,"纜"
"－",11723,1,"－"
"︵",11724,1,"︵"
".2006年",11725,1,".2006年"
"//",11726,1,"//"
"????",11727,1,"????"
"￣凸",11728,1,"￣凸"
"﹋",11729,1,"﹋"
"﹌",11730,1,"﹌"
"<<",11731,1,"<<"
"<U+2282>",11732,1,"<U+2282>"
"<U+2665>",11733,1,"<U+2665>"
"<U+3016>",11734,1,"<U+3016>"
"<U+3017>",11735,1,"<U+3017>"
"<U+304B>",11736,1,"<U+304B>"
"<U+3061>",11737,1,"<U+3061>"
"<U+306B>",11738,1,"<U+306B>"
"<U+3070>",11739,1,"<U+3070>"
"<U+3083>",11740,1,"<U+3083>"
"<U+308B>",11741,1,"<U+308B>"
"<U+30A4>",11742,1,"<U+30A4>"
"<U+30C9>Ｓ",11743,1,"<U+30C9>Ｓ"
"<U+30E1>",11744,1,"<U+30E1>"
"<U+4EA3>家",11745,1,"<U+4EA3>家"
"<U+4EB2><U+4EEC>",11746,1,"<U+4EB2><U+4EEC>"
"<U+4EEC>",11747,1,"<U+4EEC>"
"<U+519A>家",11748,1,"<U+519A>家"
"<U+51B2>",11749,1,"<U+51B2>"
"<U+55BD>",11750,1,"<U+55BD>"
"<U+561E>",11751,1,"<U+561E>"
"<U+56FD>恥",11752,1,"<U+56FD>恥"
"<U+5F3A>大",11753,1,"<U+5F3A>大"
"<U+5F3E>",11754,1,"<U+5F3E>"
"<U+5F61>",11755,1,"<U+5F61>"
"<U+6124>怒",11756,1,"<U+6124>怒"
"<U+654E>",11757,1,"<U+654E>"
"<U+6630>",11758,1,"<U+6630>"
"<U+6765>",11759,1,"<U+6765>"
"<U+6765><U+53F6>",11760,1,"<U+6765><U+53F6>"
"<U+6765><U+7740>",11761,1,"<U+6765><U+7740>"
"<U+6E14>",11762,1,"<U+6E14>"
"<U+6EDE>台",11763,1,"<U+6EDE>台"
"<U+73AF>球网發",11764,1,"<U+73AF>球网發"
"<U+7663>矩精肺",11765,1,"<U+7663>矩精肺"
"<U+80F6>",11766,1,"<U+80F6>"
"<U+8AAC>",11767,1,"<U+8AAC>"
"<U+8EE2><U+5199>",11768,1,"<U+8EE2><U+5199>"
"<U+8FD9>里",11769,1,"<U+8FD9>里"
"<U+8FD9>帖",11770,1,"<U+8FD9>帖"
"<U+9753>女",11771,1,"<U+9753>女"
"<U+9876>",11772,1,"<U+9876>"
"<U+BD20>",11773,1,"<U+BD20>"
"≡",11774,1,"≡"
"○洋",11775,1,"○洋"
"○教",11776,1,"○教"
"↗",11777,1,"↗"
"↙",11778,1,"↙"
"╮☆",11779,1,"╮☆"
"0.001",11780,1,"0.001"
"0.01",11781,1,"0.01"
"0.2",11782,1,"0.2"
"0.38",11783,1,"0.38"
"0.63",11784,1,"0.63"
"001",11785,1,"001"
"002",11786,1,"002"
"00212369",11787,1,"00212369"
"007",11788,1,"007"
"00億",11789,1,"00億"
"014",11790,1,"014"
"0202",11791,1,"0202"
"021",11792,1,"021"
"0227",11793,1,"0227"
"026057",11794,1,"026057"
"0315",11795,1,"0315"
"03年",11796,1,"03年"
"0402",11797,1,"0402"
"0555",11798,1,"0555"
"0576",11799,1,"0576"
"0602",11800,1,"0602"
"0706",11801,1,"0706"
"07日",11802,1,"07日"
"0805",11803,1,"0805"
"0809012555",11804,1,"0809012555"
"082",11805,1,"082"
"08年",11806,1,"08年"
"0936",11807,1,"0936"
"09月",11808,1,"09月"
"1,2",11809,1,"1,2"
"1,3",11810,1,"1,3"
"1.2",11811,1,"1.2"
"1.29",11812,1,"1.29"
"1.5小時",11813,1,"1.5小時"
"1.97年",11814,1,"1.97年"
"10.20",11815,1,"10.20"
"10.7",11816,1,"10.7"
"100000",11817,1,"100000"
"10000多",11818,1,"10000多"
"1001",11819,1,"1001"
"1006",11820,1,"1006"
"100年",11821,1,"100年"
"10178",11822,1,"10178"
"1027",11823,1,"1027"
"10多",11824,1,"10多"
"10多萬",11825,1,"10多萬"
"10億",11826,1,"10億"
"10點40",11827,1,"10點40"
"1100多億",11828,1,"1100多億"
"1111111111111111111111111111111111111111111",11829,1,"1111111111111111111111111111111111111111111"
"1112",11830,1,"1112"
"112010092800130,0",11831,1,"112010092800130,0"
"112233",11832,1,"112233"
"1127億",11833,1,"1127億"
"113",11834,1,"113"
"113,374",11835,1,"113,374"
"114",11836,1,"114"
"11458970",11837,1,"11458970"
"116",11838,1,"116"
"11694",11839,1,"11694"
"1169億",11840,1,"1169億"
"118.1",11841,1,"118.1"
"１２",11842,1,"１２"
"12.1",11843,1,"12.1"
"1200",11844,1,"1200"
"12000",11845,1,"12000"
"1208",11846,1,"1208"
"12113114116",11847,1,"12113114116"
"123.1",11848,1,"123.1"
"123455",11849,1,"123455"
"1234567891234567891234567746513213489798765261654749",11850,1,"1234567891234567891234567746513213489798765261654749"
"124401",11851,1,"124401"
"12500",11852,1,"12500"
"12690",11853,1,"12690"
"1282",11854,1,"1282"
"12日",11855,1,"12日"
"130餘",11856,1,"130餘"
"135",11857,1,"135"
"13533",11858,1,"13533"
"1365億",11859,1,"1365億"
"139",11860,1,"139"
"13日",11861,1,"13日"
"13世紀",11862,1,"13世紀"
"13億",11863,1,"13億"
"141561",11864,1,"141561"
"145",11865,1,"145"
"14761",11866,1,"14761"
"14864",11867,1,"14864"
"15.6",11868,1,"15.6"
"1500",11869,1,"1500"
"1511",11870,1,"1511"
"154萬多",11871,1,"154萬多"
"15日",11872,1,"15日"
"15萬",11873,1,"15萬"
"1614",11874,1,"1614"
"166",11875,1,"166"
"167",11876,1,"167"
"168",11877,1,"168"
"168000",11878,1,"168000"
"16日",11879,1,"16日"
"1700多",11880,1,"1700多"
"1700萬",11881,1,"1700萬"
"172",11882,1,"172"
"174",11883,1,"174"
"1743",11884,1,"1743"
